,Date,Address
,2017-03-12,45 FAWNHOLLOW Road
,2017-03-13,115 SUNSET Road RM 24 BED 1
,2017-03-13,225 W 2nd Street UNIT 315
,2017-03-13,2000 BURLINGTON Bypass APT 291
,2017-03-14,2305 RANCOCAS Road UNKN
,2017-03-15,505 MITCHELL Avenue APT 412
,2017-03-16,18 LAGORCE Boulevard
,2017-03-16,2000 BURLINGTON Bypass 45
,2017-03-17,1475 MT HOLLY Road APT J7
,2017-03-19,2305 RANCOCAS Road UNKN
,2017-03-20,1130 SUNSET Road APT K7
,2017-03-20,42 FAWNHOLLOW Road
,2017-03-21,115 SUNSET Road SUITE 111
,2017-03-21,45 FAWNHOLLOW Road
,2017-03-21,811 SUNSET Road SUITE 201
,2017-03-22,120 ELM Street APT V5
,2017-03-23,145 CREEKSIDE Way
,2017-03-23,2305 RANCOCAS Road UNKN
,2017-03-26,4750 US-295
,2017-03-26,255 E PEARL Street APT 408
,2017-03-26,1020 WOODLANE Road APT 59
,2017-03-26,202 POWDERMILL Lane
,2017-03-26,4909 US-295
,2017-03-26,2305 RANCOCAS Road UNKN
,2017-03-29,1475 MT HOLLY Road E10
,2017-03-29,120 ELM Street SH2
,2017-03-29,1020 WOODLANE Road APT 15
,2017-03-30,139 CREEKSIDE Way
,2017-03-30,320 CONROW Street APT 149
,2017-04-01,4690 US-295
,2017-04-02,1714 HANCOCK Lane 241
,2017-04-03,1900 MT HOLLY Road SUITE C
,2017-04-03,1020 WOODLANE Road APT 177
,2017-04-03,202 POWDERMILL Lane
,2017-04-03,1714 HANCOCK Lane APT 101
,2017-04-06,1475 MT HOLLY Road A10
,2017-04-06,275 GREEN Street 5M2
,2017-04-08,415 NJ TURNPIKE ACCESS Road
,2017-04-08,255 E PEARL Street APT 215
,2017-04-09,1714 HANCOCK Lane APT 101
,2017-04-09,2919 RT206
,2017-04-10,66 WARREN Street APT C
,2017-04-10,2835 RT206
,2017-04-10,147 LAGORCE Boulevard
,2017-04-10,519 YORK Street APT1
,2017-04-10,2000 BURLINGTON Bypass APT 65
,2017-04-10,1020 WOODLANE Road APT57
,2017-04-11,115 SUNSET Road SUITE 111
,2017-04-12,LAGORCE Boulevard
,2017-04-13,33 STONE VILLA
,2017-04-13,2919 RT206
,2017-04-14,26 STONE VILLA
,2017-04-14,1475 MT HOLLY Road APT N5
,2017-04-14,1130 SUNSET Road 5L
,2017-04-14,2919 RT206 STR 611
,2017-04-14,1130 SUNSET Road 5L
,2017-04-15,1701 SALEM Road J1
,2017-04-15,1475 MT HOLLY Road E10
,2017-04-15,415 NJ TURNPIKE ACCESS Road
,2017-04-15,1701 SALEM Road D11
,2017-04-17,85 CEDAR LANE EXT
,2017-04-19,1306 COOPER Street APT 88
,2017-04-19,1714 HANCOCK Lane APT125
,2017-04-20,2951 RT206
,2017-04-20,95 CEDAR Lane A13
,2017-04-21,275 GREEN Street APT 5Q5
,2017-04-21,114 RIVERBANK
,2017-04-22,2000 BURLINGTON Bypass APT 77
,2017-04-22,120 ELM Street AC6
,2017-04-22,RT206
,2017-04-23,2919 RT206
,2017-04-23,213 W BROAD Street FLR 1
,2017-04-24,1306 COOPER Street APT 45
,2017-04-26,115 SUNSET Road SUITE 111
,2017-04-26,125 S US-130 SUITE 9
,2017-04-27,2919 RT206
,2017-04-27,2919 RT206
,2017-04-27,120 ELM Street APT AK1
,2017-04-28,1130 SUNSET Road APT 8J
,2017-04-28,120 ELM Street APT X-4
,2017-04-29,1020 WOODLANE Road APT 103
,2017-04-30,275 GREEN Street STREET APT 4K5
,2017-05-02,59 BENFORD Lane
,2017-05-03,18 LAGORCE Boulevard
,2017-05-03,902 JACKSONVILLE Road APT 2410
,2017-05-03,870 N US-130 M10
,2017-05-03,1020 WOODLANE Road 47
,2017-05-04,1701 SALEM Road APT 21
,2017-05-04,2919 RT206
,2017-05-04,114 RIVERBANK
,2017-05-05,1113 HOSPITAL Drive SUITE 202
,2017-05-06,4700 US-295
,2017-05-07,2000 BURLINGTON Bypass APT 61
,2017-05-08,600 JFK Way
,2017-05-09,9 CAMPUS Drive SUITE A
,2017-05-09,1475 MT HOLLY Road A11
,2017-05-09,870 N US-130 S6
,2017-05-09,1020 WOODLANE Road APT47
,2017-05-09,115 SUNSET Road SUITE 111
,2017-05-10,2835 RT206
,2017-05-10,9 CAMPUS Drive SUITE A
,2017-05-11,651 HIGH Street FLOOR 1
,2017-05-11,1020 WOODLANE Road APT 234
,2017-05-14,49 STONE VILLA
,2017-05-16,4364 N US-130 SUITE G
,2017-05-16,120 ELM Street SH40
,2017-05-17,1714 HANCOCK Lane APT 106
,2017-05-17,651 HIGH Street FLOOR 1
,2017-05-17,651 HIGH Street FLOOR 1
,2017-05-18,115 SUNSET Road SUITE 111
,2017-05-18,2919 RT206
,2017-05-18,2919 RT206 STR 700-701
,2017-05-18,120 ELM Street W1
,2017-05-18,651 HIGH Street FLOOR 1
,2017-05-18,651 HIGH Street FLOOR 1
,2017-05-19,62 CREEKSIDE Way
,2017-05-19,7 LAGORCE Boulevard
,2017-05-19,4494 S US-130 SUITE 2
,2017-05-19,902 JACKSONVILLE Road RM 206
,2017-05-20,55 SUNSET Road APT 415
,2017-05-20,115 SUNSET Road SUITE 111
,2017-05-20,230 VANSCIVER Parkway
,2017-05-21,275 GREEN Street APT 4H4
,2017-05-22,115 SUNSET Road SUITE 111
,2017-05-22,4930 US-295
,2017-05-23,25 LAGORCE Boulevard
,2017-05-23,115 SUNSET Road SUITE 111
,2017-05-24,4670 US-295
,2017-05-24,651 HIGH Street FLOOR 1
,2017-05-24,651 HIGH Street FLOOR 1
,2017-05-24,1113 HOSPITAL Drive SUITE 202
,2017-05-24,651 HIGH Street FLOOR 1
,2017-05-25,902 JACKSONVILLE Road APT 3427
,2017-05-25,1701 SALEM Road APT 13
,2017-05-25,506 ELBOW Lane FLR 1
,2017-05-25,4 STONE VILLA
,2017-05-25,2835 RT206
,2017-05-26,651 HIGH Street FLOOR 1
,2017-05-26,5060 US-295
,2017-05-26,114 RIVERBANK
,2017-05-27,1475 MT HOLLY Road APT K6
,2017-05-28,2919 RT206
,2017-05-28,2919 RT206
,2017-05-28,114 RIVERBANK
,2017-05-30,1824 N US-130 RM 204
,2017-05-31,870 N US-130 K7
,2017-06-02,2000 BURLINGTON Bypass 279
,2017-06-02,1306 COOPER Street APT 57
,2017-06-06,2648 RT206
,2017-06-06,4700 US-295
,2017-06-07,2681 RT206
,2017-06-07,24 DARRS AL
,2017-06-08,651 HIGH Street FLOOR 1
,2017-06-10,1020 WOODLANE Road 103
,2017-06-10,RT541(MT HOLLY Road)
,2017-06-12,1294 COOPER Street B9
,2017-06-12,1294 COOPER Street B9
,2017-06-13,5 TERRI Lane SUITE 13
,2017-06-14,115 SUNSET Road SUITE 111
,2017-06-14,275 GREEN Street APT 5M7
,2017-06-15,2919 RT206
,2017-06-15,4494 S US-130 SUITE 2
,2017-06-16,115 SUNSET Road SUITE 111
,2017-06-16,1105 SUNSET Road UNIT A
,2017-06-17,RT541 (MT HOLLY Road)
,2017-06-17,5000 US-295
,2017-06-17,240 E PEARL Street APT 210
,2017-06-18,2919 RT206
,2017-06-18,5100 US-295
,2017-06-19,2835 RT206
,2017-06-21,2658 RT206
,2017-06-21,2658 RT206
,2017-06-23,870 N US-130 K7
,2017-06-23,4494 S US-130 SUITE 1
,2017-06-24,19 BISBEE Drive
,2017-06-24,2919 RT206
,2017-06-25,18 LAGORCE Boulevard
,2017-06-25,2000 BURLINGTON Bypass 45
,2017-06-26,1306 COOPER Street APT 57
,2017-06-28,1113 HOSPITAL Drive SUITE 101
,2017-06-29,2919 RT206
,2017-06-29,314 N ARTHUR Drive
,2017-06-29,240 E PEARL Street APT 301
,2017-06-29,VANSCIVER Parkway
,2017-06-29,VANSCIVER Parkway
,2017-06-30,120 ELM Street APT B7
,2017-07-01,2679 RT206
,2017-07-01,275 GREEN Street APT 5Q5
,2017-07-02,120 ELM Street APT O3
,2017-07-02,2919 RT206
,2017-07-03,120 ELM Street SH2
,2017-07-04,7 LAGORCE Boulevard
,2017-07-04,415 NJ TURNPIKE ACCESS Road
,2017-07-05,1294 COOPER Street APT B16
,2017-07-05,1702 MT HOLLY Road UNIT 1
,2017-07-06,2919 RT206
,2017-07-06,34 STONE VILLA
,2017-07-09,1701 SALEM Road L11
,2017-07-09,2919 RT206 GATE 1
,2017-07-09,95 CEDAR Lane A1
,2017-07-10,115 SUNSET Road RM 4 BED A
,2017-07-10,2000 BURLINGTON Bypass APT 93
,2017-07-11,2678 RT206
,2017-07-12,120 ELM Street APT A-4
,2017-07-13,2305 RANCOCAS Road RM 107B
,2017-07-14,VANSCIVER Parkway
,2017-07-15,115 SUNSET Road SUITE 111
,2017-07-16,2919 RT206
,2017-07-17,115 SUNSET Road RM A4
,2017-07-17,115 SUNSET Road SUITE 111
,2017-07-20,651 HIGH Street FLOOR 1
,2017-07-21,24 DARRS AL
,2017-07-23,2919 RT206
,2017-07-25,1714 HANCOCK Lane APT 233
,2017-07-25,5120 US-295
,2017-07-26,4960 US-295
,2017-07-26,230 VANSCIVER Parkway
,2017-07-26,147 LAGORCE Boulevard
,2017-07-27,2919 RT206
,2017-07-27,2305 RANCOCAS Road UNKN
,2017-07-28,907 WOODLANE Road 94B
,2017-07-28,176 CREEKSIDE Way
,2017-07-29,2835 RT206
,2017-07-29,870 N US-130 APT L4
,2017-07-30,4494 S US-130 SUITE 2
,2017-08-02,RT541 (MT HOLLY Road)
,2017-08-02,VANSCIVER Parkway
,2017-08-03,1900 MT HOLLY Road SUITE 2C
,2017-08-03,1508 MT HOLLY Road APT 208
,2017-08-04,230 VANSCIVER Parkway
,2017-08-06,1701 SALEM Road APT A16
,2017-08-06,2919 RT206
,2017-08-08,1714 HANCOCK Lane APT 101
,2017-08-09,505 MITCHELL Avenue APT 606
,2017-08-09,1113 HOSPITAL Drive SUITE 203
,2017-08-09,92 BARNWELL Drive
,2017-08-09,2305 RANCOCAS Road UNKN
,2017-08-10,415 NJ TURNPIKE ACCESS Road
,2017-08-10,147 LAGORCE Boulevard
,2017-08-10,1900 MT HOLLY Road SUITE C
,2017-08-12,2919 RT206
,2017-08-12,1130 SUNSET Road APT 2H
,2017-08-13,4750 US-295
,2017-08-13,120 ELM Street SH8
,2017-08-13,2919 RT206
,2017-08-13,158 RIVERBANK
,2017-08-14,86 BARNWELL Drive
,2017-08-15,255 E PEARL Street APT 224
,2017-08-15,115 SUNSET Road SUITE 111
,2017-08-16,1475 MT HOLLY Road APT C-10
,2017-08-16,2305 RANCOCAS Road UNKN
,2017-08-17,24 LACLEDE Drive CLEDE Drive
,2017-08-18,147 LAGORCE Boulevard
,2017-08-19,1020 WOODLANE Road APT 202
,2017-08-20,2919 RT206 GATE 1
,2017-08-22,5080 US-295
,2017-08-22,651 HIGH Street FLOOR 1
,2017-08-24,2919 RT206
,2017-08-25,2675 RT206
,2017-08-25,104 WARREN Street APT 2
,2017-08-26,2919 RT206
,2017-08-27,1105 SUNSET Road SUITE C
,2017-08-29,255 E PEARL Street APT 517
,2017-08-29,147 LAGORCE Boulevard
,2017-08-29,235 VANKIRK Street
,2017-08-29,147 LAGORCE Boulevard
,2017-08-30,140 LAGORCE Boulevard
,2017-08-30,113 E FEDERAL Street FLR 1
,2017-08-30,27 BISBEE Drive
,2017-08-30,41 LAGORCE Boulevard
,2017-08-31,120 ELM Street AI
,2017-08-31,120 ELM Street AR6
,2017-09-02,2305 RANCOCAS Road UNKN
,2017-09-03,120 ELM Street APT E1
,2017-09-04,27 BISBEE Drive
,2017-09-05,1020 WOODLANE Road APT 47
,2017-09-07,32 LAGORCE Boulevard
,2017-09-07,400 JFK Way UNIT 10
,2017-09-07,3 VAUGHN Way
,2017-09-08,1 VANSCIVER Parkway
,2017-09-09,2679 RT206
,2017-09-10,1020 WOODLANE Road APT 234
,2017-09-10,2919 RT206
,2017-09-11,119 RIDGWAY Drive
,2017-09-12,4390 N US-130 SUITE C
,2017-09-13,115 SUNSET Road SUITE 111
,2017-09-16,1713 BRIDGEBORO Road SUITE A
,2017-09-16,1475 MT HOLLY Road APT B4
,2017-09-17,1020 WOODLANE Road APT 57
,2017-09-18,51 STONE VILLA
,2017-09-19,2885 RT206 BLDG 4
,2017-09-21,2919 RT206
,2017-09-21,2919 RT206
,2017-09-21,1816 MT HOLLY Road SUITE 102
,2017-09-21,651 HIGH Street FLOOR 1
,2017-09-23,4870 US-295
,2017-09-23,2919 RT206
,2017-09-23,255 E PEARL Street APT 326
,2017-09-28,2919 RT206
,2017-09-28,1900 MT HOLLY Road SUITE 1B
,2017-09-29,6 TERRI Lane SUITE 900
,2017-09-30,2919 RT206
,2017-09-30,2305 RANCOCAS Road UNKN
,2017-10-01,120 ELM Street APT SH7
,2017-10-01,2835 RT206
,2017-10-02,115 SUNSET Road SUITE 111
,2017-10-04,1900 MT HOLLY Road SUITE C
,2017-10-04,1900 MT HOLLY Road SUITE 4D
,2017-10-05,2305 RANCOCAS Road UNKN
,2017-10-05,39 BEECHFERN Lane FERN Lane
,2017-10-06,VANSCIVER Parkway
,2017-10-06,1475 MT HOLLY Road APT N5
,2017-10-06,115 SUNSET Road SUITE 111
,2017-10-07,4880 US-295
,2017-10-07,17 JERRYS Drive
,2017-10-07,25 WILBUR HENRY Drive FLR 2
,2017-10-07,115 SUNSET Road SUITE 111
,2017-10-07,115 SUNSET Road SUITE 111
,2017-10-08,115 SUNSET Road SUITE 111
,2017-10-08,33 STONE VILLA
,2017-10-08,320 CONROW Street APT 149
,2017-10-08,120 ELM Street T6
,2017-10-08,4750 US-295
,2017-10-09,115 SUNSET Road SUITE 11
,2017-10-10,451 VANSCIVER Parkway
,2017-10-13,22 JERRYS Drive
,2017-10-13,1105 SUNSET Road SUITE L
,2017-10-13,2919 RT206
,2017-10-14,2835 RT206
,2017-10-15,115 CREEKSIDE Way
,2017-10-16,80 CREEKSIDE Way
,2017-10-17,115 SUNSET Road SUITE 111
,2017-10-19,240 VANSCIVER Parkway
,2017-10-20,27 BISBEE Drive
,2017-10-21,32 LAGORCE Boulevard
,2017-10-21,2678 RT206
,2017-10-24,27 BISBEE Drive
,2017-10-24,255 E PEARL Street APT 324
,2017-10-25,114 RIVERBANK
,2017-10-25,215 E FEDERAL Street FLR 1
,2017-10-26,115 SUNSET Road SUITE 111
,2017-10-26,2919 RT206
,2017-10-26,227 MCNEAL Street
,2017-10-27,120 ELM Street E3
,2017-10-28,27 BISBEE Drive
,2017-10-28,9 CAMPUS Drive SUITE A
,2017-10-28,4700 US-295
,2017-10-29,907 WOODLANE Road APT 130A
,2017-10-29,255 E PEARL Street APT 107
,2017-10-29,5160 US-295
,2017-10-30,27 BISBEE Drive
,2017-10-30,2835 RT206
,2017-10-31,4364 N US-130 SUITE G
,2017-10-31,51 STONE VILLA
,2017-11-01,124 CREEKSIDE Way
,2017-11-01,230 VANSCIVER Parkway
,2017-11-02,255 E PEARL Street APT 429
,2017-11-04,24 DARRS AL
,2017-11-05,120 ELM Street APT G6
,2017-11-05,2919 RT206
,2017-11-09,4750 US-295
,2017-11-09,4355 S US-130 UNIT C
,2017-11-09,49 STONE VILLA
,2017-11-09,51 STONE VILLA
,2017-11-09,2919 RT206
,2017-11-09,100 RIVERBANK
,2017-11-10,2729 RT206
,2017-11-11,2919 RT206
,2017-11-12,2885 RT206
,2017-11-13,120 ELM Street U2
,2017-11-13,231 VANSCIVER Parkway SUITE A
,2017-11-13,215 SUNSET Road SUITE 102
,2017-11-13,651 HIGH Street FLOOR 1
,2017-11-15,1848 JACKSONVILLE JOBSTOWN Road JOB
,2017-11-15,6 TERRI Lane SUITE 900
,2017-11-16,320 CONROW Street APT 149
,2017-11-17,2703 MT HOLLY Road SUITE 1
,2017-11-18,255 E PEARL Street APT 511
,2017-11-19,51 STONE VILLA
,2017-11-20,1816 MT HOLLY Road SUITE 102
,2017-11-21,5 TERRI Lane SUITE 2
,2017-11-21,415 NJ TURNPIKE ACCESS Road
,2017-11-21,120 ELM Street A5
,2017-11-22,235 ELLIS Street FLR 1
,2017-11-24,180 RIVERBANK
,2017-11-24,4680 US-295
,2017-11-27,1714 HANCOCK Lane APT 202
,2017-11-29,4750 US-295
,2017-11-29,6 TERRI Lane SUITE 900
,2017-11-29,235 ELLIS Street FLR 1
,2017-11-30,5000 US-295
,2017-12-01,4385 S US-130 UNT B
,2017-12-01,2305 RANCOCAS Road UNKN
,2017-12-02,2000 BURLINGTON Bypass APT 158
,2017-12-02,120 ELM Street SH38
,2017-12-04,215 E FEDERAL Street FLR 1
,2017-12-05,16 JERRYS Drive
,2017-12-05,255 E PEARL Street APT RENTA
,2017-12-05,200 CAMPBELL Drive SUITE 101
,2017-12-05,115 SUNSET Road SUITE 111
,2017-12-05,2835 RT206
,2017-12-07,1824 N US-130 RM 209
,2017-12-07,2919 RT206 STR 4A03 4A04
,2017-12-07,1009 VAN ROSSUM Avenue ROSS
,2017-12-07,1475 MT HOLLY Road APT J1
,2017-12-08,115 SUNSET Road SUITE 111
,2017-12-08,651 HIGH Street FLOOR 1
,2017-12-08,2703 MT HOLLY Road SUITE 5
,2017-12-08,1105 SUNSET Road SUITE J
,2017-12-09,200 E BROAD Street APT 2
,2017-12-09,111 SUNSET Road APT 117
,2017-12-09,5000 US-295
,2017-12-09,4920 US-295
,2017-12-10,115 SUNSET Road SUITE 111
,2017-12-11,120 ELM Street G6
,2017-12-12,1714 HANCOCK Lane APT 127
,2017-12-12,651 HIGH Street FLOOR 1
,2017-12-13,200 CAMPBELL Drive SUITE 102
,2017-12-13,92 BARNWELL Drive
,2017-12-14,230 VANSCIVER Parkway
,2017-12-14,2678 RT206
,2017-12-15,51 COACHMANS Drive
,2017-12-16,2305 RANCOCAS Road RM 131A
,2017-12-16,120 ELM Street APT D7
,2017-12-16,4364 N US-130 SUITE J
,2017-12-17,1475 MT HOLLY Road UNIT R2
,2017-12-19,51 STONE VILLA
,2017-12-20,115 SUNSET Road SUITE 111
,2017-12-20,1410 KENNYS COVE
,2017-12-20,275 GREEN Street APT 4L3
,2017-12-20,1701 SALEM Road APT L11
,2017-12-21,34 VAUGHN Way
,2017-12-22,1900 MT HOLLY Road SUITE C
,2017-12-23,275 GREEN Street APT 4L3
,2017-12-23,4390 N US-130 SUITE C
,2017-12-26,43 STONE VILLA
,2017-12-27,2305 RANCOCAS Road UNKN
,2017-12-29,115 SUNSET Road SUITE 111
,2017-12-29,1701 SALEM Road L11
,2017-12-30,62 FAWNHOLLOW Road
,2017-12-30,100 RIVERBANK
,2017-12-30,1475 MT HOLLY Road BLDG J
,2018-01-01,2305 RANCOCAS Road UNKN
,2018-01-01,147 LAGORCE Boulevard
,2018-01-01,102 CORNWELL Court
,2018-01-02,255 E PEARL Street APT 312
,2018-01-02,115 SUNSET Road SUITE 111
,2018-01-02,102 CORNWELL Court
,2018-01-02,50 FAWNHOLLOW Road
,2018-01-02,41 COACHMANS Drive
,2018-01-03,5 TERRI Lane SUITE 2
,2018-01-04,4800 US-295
,2018-01-05,4 STONE VILLA
,2018-01-05,2678 RT206
,2018-01-05,651 HIGH Street FLOOR 1
,2018-01-09,120 ELM Street APT Q1
,2018-01-09,120 ELM Street SH11
,2018-01-09,12 BISBEE Drive
,2018-01-10,29 BISBEE Drive
,2018-01-10,8 RIDGWAY Drive
,2018-01-11,4 STONE VILLA
,2018-01-11,120 ELM Street APT SH46
,2018-01-11,415 NJ TURNPIKE ACCESS Road
,2018-01-12,230 VANSCIVER Parkway
,2018-01-13,33 LAGORCE Boulevard
,2018-01-13,120 ELM Street APT SH8
,2018-01-14,138 RIVERBANK
,2018-01-15,2305 RANCOCAS Road RM 228A
,2018-01-16,1701 SALEM Road APT L11
,2018-01-17,215 E FEDERAL Street FLR 1
,2018-01-17,13 CEDAR LANE EXT
,2018-01-18,9 CAMPUS Drive SUITE A
,2018-01-18,651 HIGH Street FLOOR 1
,2018-01-19,115 SUNSET Road A WING RM 27
,2018-01-20,2678 RT206
,2018-01-21,51 STONE VILLA
,2018-01-22,136 CREEKSIDE Way
,2018-01-22,136 CREEKSIDE Way
,2018-01-23,5 TERRI Lane SUITE 2
,2018-01-23,651 JFK Way
,2018-01-24,5 TERRI Lane SUITE 2
,2018-01-24,5 TERRI Lane SUITE 2
,2018-01-24,651 HIGH Street FLOOR 1
,2018-01-24,240 E PEARL Street APT 301
,2018-01-24,1306 COOPER Street APT 57
,2018-01-25,6 TERRI Lane SUITE 900
,2018-01-25,5 TERRI Lane SUITE 2
,2018-01-26,95 CEDAR Lane A1
,2018-01-26,1113 HOSPITAL Drive SUITE 202
,2018-01-27,4960 US-295
,2018-01-28,120 ELM Street APT SH11
,2018-01-28,114 RIVERBANK
,2018-01-29,5 TERRI Lane SUITE 2
,2018-01-29,12 BENFORD Lane
,2018-01-30,1900 MT HOLLY Road SUITE 2C
,2018-01-30,5 TERRI Lane SUITE 2
,2018-01-31,42 FAWNHOLLOW Road
,2018-01-31,5 TERRI Lane SUITE 2
,2018-01-31,5 TERRI Lane SUITE 2
,2018-01-31,1900 MT HOLLY Road SUITE C
,2018-02-01,5 TERRI Lane SUITE 2
,2018-02-02,651 HIGH Street FLOOR 1
,2018-02-02,350 RIVERBANK
,2018-02-03,55 SUNSET Road APT 421
,2018-02-05,33 STONE VILLA
,2018-02-05,5 TERRI Lane SUITE 2
,2018-02-05,651 HIGH Street FLOOR 1
,2018-02-05,115 SUNSET Road A WING RM 23
,2018-02-07,5 TERRI Lane SUITE 2
,2018-02-07,115 SUNSET Road SUITE 111
,2018-02-08,5 TERRI Lane SUITE 2
,2018-02-08,5 TERRI Lane SUITE 2
,2018-02-08,4 STONE VILLA
,2018-02-09,5 TERRI Lane SUITE 2
,2018-02-09,651 HIGH Street FLOOR 1
,2018-02-11,1701 SALEM Road APT A7
,2018-02-11,5100 US-295
,2018-02-13,1006 ARMISTICE Road
,2018-02-13,27 BISBEE Drive
,2018-02-13,5 TERRI Lane SUITE 2
,2018-02-13,4810 US-295
,2018-02-14,120 ELM Street APT SH8
,2018-02-15,5 TERRI Lane SUITE 2
,2018-02-15,115 SUNSET Road SUITE 111
,2018-02-16,48 STONE VILLA
,2018-02-17,RT206
,2018-02-18,61 CREEKSIDE Way
,2018-02-20,164 RIVERBANK
,2018-02-20,340 ALDEN Avenue APT 6
,2018-02-21,5 TERRI Lane SUITE 2
,2018-02-21,275 GREEN Street APT 4G6
,2018-02-22,115 SUNSET Road SUITE 111
,2018-02-22,5 TERRI Lane SUITE 2
,2018-02-22,1900 MT HOLLY Road SUITE 4C
,2018-02-24,2919 RT206
,2018-02-24,1005 SUNSET Road SUITE 3
,2018-02-25,51 STONE VILLA
,2018-02-25,49 STONE VILLA
,2018-02-26,5 TERRI Lane SUITE 2
,2018-02-26,651 HIGH Street FLOOR 1
,2018-02-26,5 TERRI Lane SUITE 2
,2018-02-26,27 BISBEE Drive
,2018-02-27,115 SUNSET Road SUITE 111
,2018-02-27,27 BISBEE Drive
,2018-02-27,115 SUNSET Road SUITE 111
,2018-02-27,1900 MT HOLLY Road SUITE B
,2018-02-28,255 E PEARL Street APT 201
,2018-02-28,5 TERRI Lane SUITE 2
,2018-03-01,4960 US-295
,2018-03-01,2741 RT206
,2018-03-01,115 SUNSET Road SUITE 111
,2018-03-02,2692 RT206
,2018-03-03,275 GREEN Street APT 5Q2
,2018-03-03,115 SUNSET Road SUITE 111
,2018-03-03,1108 SUNSET Road UNIT 8
,2018-03-05,651 HIGH Street FLOOR 1
,2018-03-05,120 ELM Street H4
,2018-03-07,120 ELM Street B7
,2018-03-07,4660 US-295
,2018-03-07,71 CREEKSIDE Way
,2018-03-07,RT541 (MT HOLLY Road)
,2018-03-08,870 N US-130 P2
,2018-03-09,5 TERRI Lane SUITE 2
,2018-03-09,5 TERRI Lane SUITE 2
,2018-03-10,1020 WOODLANE Road APT 239
,2018-03-12,200 CAMPBELL Drive SUITE 102
,2018-03-14,20 BENFORD Lane
,2018-03-14,20 BENFORD Lane
,2018-03-14,20 BENFORD Lane
,2018-03-16,2686 RT206
,2018-03-16,1848 JACKSONVILLE JOBSTOWN Road JOBS
,2018-03-17,2885 RT206
,2018-03-17,1105 SUNSET Road SUITE L
,2018-03-19,VANSCIVER Parkway
,2018-03-19,47 STONE VILLA
,2018-03-19,5 TERRI Lane SUITE 2
,2018-03-20,4660 US-295
,2018-03-21,115 SUNSET Road SUITE 111
,2018-03-23,5 TERRI Lane SUITE 2
,2018-03-23,5 TERRI Lane SUITE 2
,2018-03-26,5000 US-295
,2018-03-26,5000 US-295
,2018-03-27,149 CREEKSIDE Way
,2018-03-27,201 CREEKSIDE Way
,2018-03-28,5 TERRI Lane SUITE 2
,2018-03-28,5 TERRI Lane SUITE 2
,2018-03-29,5 TERRI Lane SUITE 2
,2018-03-30,6 TERRI Lane SUITE 900
,2018-03-31,62 STEEPLE CHASE Boulevard
,2018-04-01,1421 KENNYS COVE
,2018-04-02,1554 RT670 (BURLINGTON JACKSONVILLE Road)
,2018-04-02,5100 US-295
,2018-04-02,RT206
,2018-04-03,4364 N US-130 SUITE H
,2018-04-03,351 HIGH Street SUITE 103
,2018-04-03,120 ELM Street APT D05
,2018-04-04,122 RIDGWAY Drive
,2018-04-05,1714 HANCOCK Lane APT 202
,2018-04-05,114 RIVERBANK
,2018-04-05,115 SUNSET Road SUITE 111
,2018-04-06,120 ELM Street APT
,2018-04-06,22 LONGWOOD Drive WOOD
,2018-04-08,937 JACKSONVILLE MT HOLLY Road MOUNT HOLLY RO
,2018-04-08,1475 MT HOLLY Road E11
,2018-04-09,902 JACKSONVILLE Road APT 2429
,2018-04-09,2305 RANCOCAS Road UNKN
,2018-04-09,5 TERRI Lane SUITE 2
,2018-04-09,6 TERRI Lane SUITE 900
,2018-04-11,5 TERRI Lane SUITE 2
,2018-04-12,5 TERRI Lane SUITE 2
,2018-04-12,5 TERRI Lane SUITE 2
,2018-04-13,5 TERRI Lane SUITE 2
,2018-04-13,5 TERRI Lane SUITE 2
,2018-04-13,1900 MT HOLLY Road SUITE B
,2018-04-16,5 TERRI Lane SUITE 2
,2018-04-16,5 TERRI Lane SUITE 2
,2018-04-16,5 TERRI Lane SUITE 2
,2018-04-16,651 HIGH Street FLOOR 1
,2018-04-17,1900 MT HOLLY Road SUITE 4C
,2018-04-17,1340 HORNBERGER Avenue APT 208
,2018-04-18,1475 MT HOLLY Road APT J2
,2018-04-18,4900 US-295
,2018-04-19,220 TALBOT Street FLR 1
,2018-04-19,351 HIGH Street SUITE 103
,2018-04-20,2679 RT206
,2018-04-20,115 SUNSET Road SUITE 111
,2018-04-20,5 TERRI Lane SUITE 2
,2018-04-21,51 COACHMANS Drive
,2018-04-21,204 POWDERMILL Lane
,2018-04-23,5 TERRI Lane SUITE 2
,2018-04-23,5 TERRI Lane SUITE 2
,2018-04-23,2000 BURLINGTON Bypass 279
,2018-04-24,115 SUNSET Road SUITE 111
,2018-04-25,651 HIGH Street FLOOR 1
,2018-04-26,2885 RT206
,2018-04-26,937 JACKSONVILLE MT HOLLY Road MOUNT HOLLY RO
,2018-04-28,215 E FEDERAL Street FLR 1
,2018-04-29,2919 RT206
,2018-04-30,1714 HANCOCK Lane APT 202
,2018-04-30,4 STONE VILLA
,2018-05-01,314 N ARTHUR Drive
,2018-05-01,69 BARNWELL Drive
,2018-05-01,230 VANSCIVER Parkway
,2018-05-01,66 WARREN Street APT A
,2018-05-02,4700 US-295
,2018-05-02,5 TERRI Lane SUITE 2
,2018-05-02,5 TERRI Lane SUITE 2
,2018-05-02,5 TERRI Lane SUITE 2
,2018-05-03,651 HIGH Street FLOOR 1
,2018-05-05,9 CAMPUS Drive SUITE A
,2018-05-05,4385 S US-130 UNIT A
